Birth_rate_count_id,Region_id,Region_cod,Region_desc,Year,Birth Rate,Birth Count,Type_Birth_Id,Type_birth_desc
232,24,MI,Michigan,2004,61.4,129776,1,Birth
233,25,MN,Minnesota,2004,64.5,70624,1,Birth
234,26,MS,Mississippi,2004,68.3,42827,1,Birth
235,27,MO,Missouri,2004,64.3,77765,1,Birth
236,28,MT,Montana,2004,62.7,11519,1,Birth
237,29,NE,Nebraska,2004,72.6,26332,1,Birth
238,30,NV,Nevada,2004,72.6,35200,1,Birth
239,31,NH,New Hampshire,2004,53.4,14565,1,Birth
240,32,NJ,New Jersey,2004,64.2,115253,1,Birth
241,33,NM,New Mexico,2004,71.9,28384,1,Birth
242,34,NY,New York,2004,60.7,249947,1,Birth
243,35,NC,North Carolina,2004,66,119847,1,Birth
244,36,ND,North Dakota,2004,63.2,8189,1,Birth
245,37,OH,Ohio,2004,62.7,148954,1,Birth
246,38,OK,Oklahoma,2004,70.3,51306,1,Birth
247,39,OR,Oregon,2004,61.8,45678,1,Birth
248,40,PA,Pennsylvania,2004,58,144748,1,Birth
249,41,RI,Rhode Island,2004,55,12779,1,Birth
250,42,SC,South Carolina,2004,63.6,56590,1,Birth
251,43,SD,South Dakota,2004,72.4,11338,1,Birth
252,44,TN,Tennessee,2004,63.4,79642,1,Birth
253,45,TX,Texas,2004,77.3,381293,1,Birth
254,46,UT,Utah,2004,92.3,50670,1,Birth
255,47,VT,Vermont,2004,52.1,6599,1,Birth
256,48,VA,Virginia,2004,65,103933,1,Birth
257,49,WA,Washington,2004,61.7,81747,1,Birth
258,50,WV,West Virginia,2004,58.3,20880,1,Birth
259,51,WI,Wisconsin,2004,60.7,70146,1,Birth
260,52,WY,Wyoming,2004,66.5,6807,1,Birth
261,1,US,United States,2005,66.7,4138349,1,Birth
262,2,AL,Alabama,2005,63.5,60453,1,Birth
263,3,AK,Alaska,2005,75.4,10459,1,Birth
264,4,AZ,Arizona,2005,79.2,96199,1,Birth
265,5,AR,Arkansas,2005,69.1,39208,1,Birth
266,6,CA,California,2005,71.3,548882,1,Birth
267,7,CO,Colorado,2005,68.8,68944,1,Birth
268,8,CT,Connecticut,2005,58.7,41718,1,Birth
269,9,DE,Delaware,2005,65.1,11643,1,Birth
270,10,DC,District of Columbia,2005,59.8,7971,1,Birth
271,11,FL,Florida,2005,65.6,226240,1,Birth
272,12,GA,Georgia,2005,70,142200,1,Birth
273,13,HI,Hawaii,2005,72.9,17924,1,Birth
274,14,ID,Idaho,2005,77.4,23062,1,Birth
275,15,IL,Illinois,2005,66.4,179020,1,Birth
276,16,IN,Indiana,2005,67.3,87193,1,Birth
277,17,IA,Iowa,2005,65.4,39311,1,Birth
278,18,KS,Kansas,2005,70.4,39888,1,Birth
279,19,KY,Kentucky,2005,64.7,56444,1,Birth
280,20,LA,Louisiana,2005,62.6,60937,1,Birth
281,21,ME,Maine,2005,53.6,14112,1,Birth
282,22,MD,Maryland,2005,62.8,74980,1,Birth
283,23,MA,Massachusetts,2005,56.1,76865,1,Birth
284,24,MI,Michigan,2005,61,127706,1,Birth
285,25,MN,Minnesota,2005,64.9,70919,1,Birth
286,26,MS,Mississippi,2005,67.8,42395,1,Birth
287,27,MO,Missouri,2005,65,78618,1,Birth
288,28,MT,Montana,2005,63.2,11583,1,Birth
289,29,NE,Nebraska,2005,72.1,26145,1,Birth
290,30,NV,Nevada,2005,74.5,37268,1,Birth
291,31,NH,New Hampshire,2005,53.3,14420,1,Birth
292,32,NJ,New Jersey,2005,63.9,113776,1,Birth
293,33,NM,New Mexico,2005,72.8,28835,1,Birth
294,34,NY,New York,2005,60.3,246351,1,Birth
295,35,NC,North Carolina,2005,67.2,123096,1,Birth
296,36,ND,North Dakota,2005,65.3,8390,1,Birth
297,37,OH,Ohio,2005,63,148388,1,Birth
298,38,OK,Oklahoma,2005,70.9,51801,1,Birth
299,39,OR,Oregon,2005,61.6,45922,1,Birth
300,40,PA,Pennsylvania,2005,58.7,145383,1,Birth
301,41,RI,Rhode Island,2005,55.7,12697,1,Birth
302,42,SC,South Carolina,2005,64.5,57711,1,Birth
303,43,SD,South Dakota,2005,73.4,11462,1,Birth
304,44,TN,Tennessee,2005,64.9,81747,1,Birth
305,45,TX,Texas,2005,77.6,385915,1,Birth
306,46,UT,Utah,2005,90.4,51556,1,Birth
307,47,VT,Vermont,2005,49.6,6295,1,Birth
308,48,VA,Virginia,2005,65.1,104555,1,Birth
309,49,WA,Washington,2005,62.1,82703,1,Birth
310,50,WV,West Virginia,2005,58.8,20836,1,Birth
311,51,WI,Wisconsin,2005,61.7,70984,1,Birth
312,52,WY,Wyoming,2005,71.3,7239,1,Birth
313,1,US,United States,2006,68.5,4265555,1,Birth
314,2,AL,Alabama,2006,67,63232,1,Birth
315,3,AK,Alaska,2006,76.7,10996,1,Birth
316,4,AZ,Arizona,2006,81.6,102429,1,Birth
317,5,AR,Arkansas,2006,72.2,40961,1,Birth
318,6,CA,California,2006,71.8,562440,1,Birth
319,7,CO,Colorado,2006,70.2,70751,1,Birth
320,8,CT,Connecticut,2006,58.8,41820,1,Birth
321,9,DE,Delaware,2006,67.3,11989,1,Birth
322,10,DC,District of Columbia,2006,58.4,8523,1,Birth
323,11,FL,Florida,2006,67.3,236802,1,Birth
324,12,GA,Georgia,2006,72.4,148633,1,Birth
325,13,HI,Hawaii,2006,73.9,18982,1,Birth
326,14,ID,Idaho,2006,80.9,24184,1,Birth
327,15,IL,Illinois,2006,66.8,180572,1,Birth
328,16,IN,Indiana,2006,68.3,88631,1,Birth
329,17,IA,Iowa,2006,69.1,40607,1,Birth
330,18,KS,Kansas,2006,73.3,40968,1,Birth
331,19,KY,Kentucky,2006,67.1,58250,1,Birth
332,20,LA,Louisiana,2006,70.6,63376,1,Birth
333,21,ME,Maine,2006,54.5,14151,1,Birth
334,22,MD,Maryland,2006,64.2,77494,1,Birth
335,23,MA,Massachusetts,2006,56.9,77676,1,Birth
336,24,MI,Michigan,2006,61.7,127483,1,Birth
337,25,MN,Minnesota,2006,68.7,73525,1,Birth
338,26,MS,Mississippi,2006,75.7,46056,1,Birth
339,27,MO,Missouri,2006,67.9,81385,1,Birth
340,28,MT,Montana,2006,69.5,12508,1,Birth
341,29,NE,Nebraska,2006,75.1,26727,1,Birth
342,30,NV,Nevada,2006,77.9,40027,1,Birth
343,31,NH,New Hampshire,2006,53.4,14378,1,Birth
344,32,NJ,New Jersey,2006,64.5,115020,1,Birth
345,33,NM,New Mexico,2006,74.7,29936,1,Birth
346,34,NY,New York,2006,61.1,250104,1,Birth
347,35,NC,North Carolina,2006,69,127859,1,Birth
348,36,ND,North Dakota,2006,68.7,8621,1,Birth
349,37,OH,Ohio,2006,64.7,150593,1,Birth
350,38,OK,Oklahoma,2006,74.7,54016,1,Birth
351,39,OR,Oregon,2006,65.4,48689,1,Birth
352,40,PA,Pennsylvania,2006,60.6,149090,1,Birth
353,41,RI,Rhode Island,2006,54.6,12372,1,Birth
354,42,SC,South Carolina,2006,69.6,62171,1,Birth
355,43,SD,South Dakota,2006,78.5,11919,1,Birth
356,44,TN,Tennessee,2006,67.5,84355,1,Birth
357,45,TX,Texas,2006,78.8,399603,1,Birth
358,46,UT,Utah,2006,94.1,53504,1,Birth
359,47,VT,Vermont,2006,52.2,6511,1,Birth
360,48,VA,Virginia,2006,66.3,107817,1,Birth
361,49,WA,Washington,2006,65.2,86876,1,Birth
362,50,WV,West Virginia,2006,59.4,20931,1,Birth
363,51,WI,Wisconsin,2006,64,72340,1,Birth
364,52,WY,Wyoming,2006,75.9,7672,1,Birth
365,1,US,United States,2007,69.5,4316233,1,Birth
366,2,AL,Alabama,2007,68.7,64804,1,Birth
367,3,AK,Alaska,2007,77.2,11052,1,Birth
368,4,AZ,Arizona,2007,81.1,102981,1,Birth
369,5,AR,Arkansas,2007,73.1,41378,1,Birth
370,6,CA,California,2007,72.5,566414,1,Birth
371,7,CO,Colorado,2007,69.8,70809,1,Birth
372,8,CT,Connecticut,2007,59.5,41660,1,Birth
373,9,DE,Delaware,2007,68.4,12170,1,Birth
374,10,DC,District of Columbia,2007,60,8864,1,Birth
375,11,FL,Florida,2007,68.4,239165,1,Birth
376,12,GA,Georgia,2007,73.3,151137,1,Birth
377,13,HI,Hawaii,2007,76,19134,1,Birth
378,14,ID,Idaho,2007,83.4,25019,1,Birth
379,15,IL,Illinois,2007,67.3,180836,1,Birth
380,16,IN,Indiana,2007,69.7,89864,1,Birth
381,17,IA,Iowa,2007,70.1,40886,1,Birth
382,18,KS,Kansas,2007,75.6,42004,1,Birth
383,19,KY,Kentucky,2007,68.6,59368,1,Birth
384,20,LA,Louisiana,2007,73.4,66301,1,Birth
385,21,ME,Maine,2007,55.6,14120,1,Birth
386,22,MD,Maryland,2007,65.6,78095,1,Birth
387,23,MA,Massachusetts,2007,57.4,77967,1,Birth
388,24,MI,Michigan,2007,61.4,125261,1,Birth
389,25,MN,Minnesota,2007,69.7,73735,1,Birth
390,26,MS,Mississippi,2007,76.9,46491,1,Birth
391,27,MO,Missouri,2007,68.8,81930,1,Birth
392,28,MT,Montana,2007,68.6,12439,1,Birth
393,29,NE,Nebraska,2007,76.2,26934,1,Birth
394,30,NV,Nevada,2007,79.5,41181,1,Birth
395,31,NH,New Hampshire,2007,53.8,14168,1,Birth
396,32,NJ,New Jersey,2007,66.1,116063,1,Birth
397,33,NM,New Mexico,2007,76.6,30616,1,Birth
398,34,NY,New York,2007,62.1,253451,1,Birth
399,35,NC,North Carolina,2007,69.6,131037,1,Birth
400,36,ND,North Dakota,2007,69.8,8840,1,Birth
401,37,OH,Ohio,2007,65.5,150879,1,Birth
402,38,OK,Oklahoma,2007,76,55065,1,Birth
403,39,OR,Oregon,2007,66.1,49378,1,Birth
404,40,PA,Pennsylvania,2007,61.9,150713,1,Birth
405,41,RI,Rhode Island,2007,55.8,12376,1,Birth
406,42,SC,South Carolina,2007,69.9,62875,1,Birth
407,43,SD,South Dakota,2007,80,12261,1,Birth
408,44,TN,Tennessee,2007,68.8,86711,1,Birth
409,45,TX,Texas,2007,80.1,407625,1,Birth
410,46,UT,Utah,2007,94.4,55130,1,Birth
411,47,VT,Vermont,2007,53.2,6513,1,Birth
412,48,VA,Virginia,2007,67,108884,1,Birth
413,49,WA,Washington,2007,67,88978,1,Birth
414,50,WV,West Virginia,2007,63.1,21994,1,Birth
415,51,WI,Wisconsin,2007,65,72784,1,Birth
416,52,WY,Wyoming,2007,77.7,7893,1,Birth
417,1,US,United States,2008,68.6,4247694,1,Birth
418,2,AL,Alabama,2008,68.5,64546,1,Birth
419,3,AK,Alaska,2008,80.9,11442,1,Birth
420,4,AZ,Arizona,2008,77.4,99442,1,Birth
421,5,AR,Arkansas,2008,72.1,40669,1,Birth
422,6,CA,California,2008,71,551779,1,Birth
423,7,CO,Colorado,2008,68.8,70031,1,Birth
424,8,CT,Connecticut,2008,58.4,40399,1,Birth
425,9,DE,Delaware,2008,68.4,12090,1,Birth
426,10,DC,District of Columbia,2008,61.3,9130,1,Birth
427,11,FL,Florida,2008,66.7,231445,1,Birth
428,12,GA,Georgia,2008,70.9,146603,1,Birth
429,13,HI,Hawaii,2008,78.3,19484,1,Birth
430,14,ID,Idaho,2008,83.4,25149,1,Birth
431,15,IL,Illinois,2008,66,176795,1,Birth
432,16,IN,Indiana,2008,69.3,88742,1,Birth
433,17,IA,Iowa,2008,69.5,40224,1,Birth
434,18,KS,Kansas,2008,75.6,41833,1,Birth
435,19,KY,Kentucky,2008,67.7,58375,1,Birth
436,20,LA,Louisiana,2008,70.9,65268,1,Birth
437,21,ME,Maine,2008,54.5,13609,1,Birth
438,22,MD,Maryland,2008,65.4,77289,1,Birth
439,23,MA,Massachusetts,2008,56.7,77022,1,Birth
440,24,MI,Michigan,2008,60.5,121127,1,Birth
441,25,MN,Minnesota,2008,69.1,72421,1,Birth
442,26,MS,Mississippi,2008,74.4,44947,1,Birth
443,27,MO,Missouri,2008,68.3,80963,1,Birth
444,28,MT,Montana,2008,69.5,12594,1,Birth
445,29,NE,Nebraska,2008,76.9,26989,1,Birth
446,30,NV,Nevada,2008,76,39506,1,Birth
447,31,NH,New Hampshire,2008,52.8,13683,1,Birth
448,32,NJ,New Jersey,2008,65.1,112710,1,Birth
449,33,NM,New Mexico,2008,75.9,30173,1,Birth
450,34,NY,New York,2008,61.4,250383,1,Birth
451,35,NC,North Carolina,2008,69.1,130839,1,Birth
452,36,ND,North Dakota,2008,71.3,8938,1,Birth
453,37,OH,Ohio,2008,65.1,148821,1,Birth
454,38,OK,Oklahoma,2008,75.9,54781,1,Birth
455,39,OR,Oregon,2008,65.6,49096,1,Birth
456,40,PA,Pennsylvania,2008,61.8,149273,1,Birth
457,41,RI,Rhode Island,2008,55.3,12048,1,Birth
458,42,SC,South Carolina,2008,69.7,63071,1,Birth
459,43,SD,South Dakota,2008,79.1,12071,1,Birth
460,44,TN,Tennessee,2008,68,85560,1,Birth
461,45,TX,Texas,2008,79.1,405554,1,Birth
462,46,UT,Utah,2008,93.1,55634,1,Birth
463,47,VT,Vermont,2008,52.4,6339,1,Birth
464,48,VA,Virginia,2008,66,106686,1,Birth
465,49,WA,Washington,2008,68,90321,1,Birth
466,50,WV,West Virginia,2008,62.2,21501,1,Birth
467,51,WI,Wisconsin,2008,64.9,72261,1,Birth
468,52,WY,Wyoming,2008,78.4,8038,1,Birth
469,1,US,United States,2009,66.7,4130665,1,Birth
470,2,AL,Alabama,2009,65.7,62475,1,Birth
471,3,AK,Alaska,2009,78.3,11324,1,Birth
472,4,AZ,Arizona,2009,71.5,92798,1,Birth
473,5,AR,Arkansas,2009,70,39808,1,Birth
474,6,CA,California,2009,68.5,527020,1,Birth
475,7,CO,Colorado,2009,66.8,68628,1,Birth
476,8,CT,Connecticut,2009,56.5,38896,1,Birth
477,9,DE,Delaware,2009,65.4,11559,1,Birth
478,10,DC,District of Columbia,2009,59.9,9040,1,Birth
479,11,FL,Florida,2009,63.6,221394,1,Birth
480,12,GA,Georgia,2009,67.7,141377,1,Birth
481,13,HI,Hawaii,2009,75.8,18887,1,Birth
482,14,ID,Idaho,2009,77.5,23737,1,Birth
483,15,IL,Illinois,2009,64.7,171163,1,Birth
484,16,IN,Indiana,2009,67.6,86673,1,Birth
485,17,IA,Iowa,2009,68.7,39701,1,Birth
486,18,KS,Kansas,2009,74.7,41396,1,Birth
487,19,KY,Kentucky,2009,66.6,57551,1,Birth
488,20,LA,Louisiana,2009,69.8,64973,1,Birth
489,21,ME,Maine,2009,54.8,13470,1,Birth
